store_id,sku_id,stock_on_hand,reorder_point,snapshot_date
9,1172,118,20,2025-12-31
9,1177,79,20,2025-12-31
9,1028,167,20,2025-12-31
9,1022,153,20,2025-12-31
9,1141,62,20,2025-12-31
9,1154,26,20,2025-12-31
9,1186,146,20,2025-12-31
9,1061,43,20,2025-12-31
9,1182,160,20,2025-12-31
9,1099,92,20,2025-12-31
9,1132,150,20,2025-12-31
9,1143,115,20,2025-12-31
9,1098,186,20,2025-12-31
9,1152,158,20,2025-12-31
9,1183,136,20,2025-12-31
9,1199,83,20,2025-12-31
9,1145,137,20,2025-12-31
9,1006,130,20,2025-12-31
9,1169,10,20,2025-12-31
9,1150,81,20,2025-12-31
9,1088,193,20,2025-12-31
9,1147,137,20,2025-12-31
9,1103,51,20,2025-12-31
9,1112,50,20,2025-12-31
9,1059,125,20,2025-12-31
9,1008,110,20,2025-12-31
9,1025,153,20,2025-12-31
9,1016,142,20,2025-12-31
9,1041,57,20,2025-12-31
9,1110,155,20,2025-12-31
9,1080,158,20,2025-12-31
9,1198,86,20,2025-12-31
9,1127,197,20,2025-12-31
9,1104,14,20,2025-12-31
9,1029,16,20,2025-12-31
9,1004,30,20,2025-12-31
9,1082,82,20,2025-12-31
9,1070,140,20,2025-12-31
9,1015,83,20,2025-12-31
9,1133,87,20,2025-12-31
9,1189,24,20,2025-12-31
9,1142,102,20,2025-12-31
9,1017,103,20,2025-12-31
9,1068,108,20,2025-12-31
9,1078,151,20,2025-12-31
9,1181,40,20,2025-12-31
9,1034,65,20,2025-12-31
9,1076,44,20,2025-12-31
9,1046,25,20,2025-12-31
9,1007,43,20,2025-12-31
9,1093,103,20,2025-12-31
9,1185,140,20,2025-12-31
9,1087,20,20,2025-12-31
9,1125,66,20,2025-12-31
9,1047,181,20,2025-12-31
9,1083,133,20,2025-12-31
9,1200,138,20,2025-12-31
9,1130,87,20,2025-12-31
9,1119,81,20,2025-12-31
9,1111,132,20,2025-12-31
9,1010,167,20,2025-12-31
9,1012,44,20,2025-12-31
9,1084,135,20,2025-12-31
9,1060,186,20,2025-12-31
9,1167,44,20,2025-12-31
9,1161,187,20,2025-12-31
9,1024,39,20,2025-12-31
9,1190,131,20,2025-12-31
9,1128,101,20,2025-12-31
9,1118,180,20,2025-12-31
9,1013,22,20,2025-12-31
9,1052,137,20,2025-12-31
9,1136,103,20,2025-12-31
9,1090,29,20,2025-12-31
9,1164,184,20,2025-12-31
9,1050,73,20,2025-12-31
9,1196,103,20,2025-12-31
9,1156,109,20,2025-12-31
9,1139,28,20,2025-12-31
9,1120,33,20,2025-12-31
9,1135,120,20,2025-12-31
9,1191,187,20,2025-12-31
9,1002,25,20,2025-12-31
9,1097,149,20,2025-12-31
9,1026,137,20,2025-12-31
9,1193,82,20,2025-12-31
9,1184,67,20,2025-12-31
9,1023,115,20,2025-12-31
9,1027,126,20,2025-12-31
9,1003,156,20,2025-12-31
9,1066,95,20,2025-12-31
9,1131,29,20,2025-12-31
9,1032,10,20,2025-12-31
9,1171,54,20,2025-12-31
9,1072,121,20,2025-12-31
9,1115,176,20,2025-12-31
9,1157,126,20,2025-12-31
9,1054,47,20,2025-12-31
9,1018,26,20,2025-12-31
9,1057,114,20,2025-12-31
10,1157,143,20,2025-12-31
10,1122,196,20,2025-12-31
10,1030,166,20,2025-12-31
10,1167,150,20,2025-12-31
10,1140,16,20,2025-12-31
10,1005,17,20,2025-12-31
10,1128,62,20,2025-12-31
10,1161,192,20,2025-12-31
10,1043,182,20,2025-12-31
10,1083,179,20,2025-12-31
10,1073,180,20,2025-12-31
10,1114,58,20,2025-12-31
10,1117,92,20,2025-12-31
10,1025,178,20,2025-12-31
10,1037,15,20,2025-12-31
